,algorithm,machine,psize,model,parameters,crossValid,-2l,AIC,CAIC,BIC,HQIC,infTime.mean
4,dijkstra,andromeda,500K,Lognormal,-4.46041316724327 0.275581775564293,-1690.85181974392,-8660.69520455801,-8656.69520455801,-8656.683168449692,-8652.96462562235,-8646.87969400005,0.0361111111107877
5,dijkstra,andromeda,500K,OLL-GG,0.0140554550307398 2.57687115685335 0.94451902289367 2.35342756109871,-1830.1632916779001,-9152.35994665431,-9144.35994665431,-9144.31974564929,-9136.898788782979,-9124.72892553838,1.13343749999785
6,dijkstra,andromeda,500K,Kw-CWG,0.142390491011617 0.767843364244488 205.28271842401 5.74669233167544 50.3361401438711,-1818.3888724851397,-9132.463915222941,-9122.463915222941,-9122.4035530499,-9113.13746788378,-9097.92513882803,33.22199192514878
7,dijkstra,andromeda,500K,G.Gamma,0.0109087114886967 3.82299609212926 1.73042219488322,-1823.5145218508499,-9117.57260925427,-9111.57260925427,-9111.548512868729,-9105.97674085077,-9096.84934341732,0.146481481480468
8,dijkstra,andromeda,500K,E.Weibull,3.76318663807416 0.0113414491912321 1.90378287213847,-1824.1082747910102,-9121.25398928059,-9115.25398928059,-9115.22989289505,-9109.6581208771,-9100.53072344365,0.24785185185276198
0,sqldbHD,andromeda,1500,Gamma,9.19770875080997 0.372945314746323,605.936437394097,3009.63182557176,3013.63182557176,3013.64386168008,3017.3624045074203,3023.44733612972,0.0431333333379977
1,sqldbHD,andromeda,1500,Weibull,2.12381764854963 3.81192363020136,736.497093558081,3531.3596622056702,3535.3596622056702,3535.37169831399,3539.09024114133,3545.1751727636297,0.0418095238093797
2,sqldbHD,andromeda,1500,Normal,3.43023647600124 1.50879957702991,769.610999949247,3660.5050888272203,3664.5050888272203,3664.51712493555,3668.23566776289,3674.32059938519,0.00322222222489977
3,sqldbHD,andromeda,1500,T.Normal,3.36283311344698 1.58356691324005,904.6968468537599,3632.85562792728,3636.85562792728,3636.8676640356,3640.58620686294,3646.6711384852397,0.0170000000054845
4,sqldbHD,andromeda,1500,Lognormal,1.17728828736391 0.335560818767753,606.323944648331,3008.5461465638105,3012.5461465638105,3012.55818267213,3016.27672549947,3022.36165712177,0.00722222222248092
5,sqldbHD,andromeda,1500,OLL-GG,5.77196122442953 0.272405743047328 1.16866070818732 14.4801768321977,1140.83093948493,2782.5342273886304,2790.5342273886304,2790.57442839365,2797.99538525995,2810.16524850455,1.35887499999899
6,sqldbHD,andromeda,1500,Kw-CWG,0.00876051486347307 0.679549502479976 4.05181705407342 3.01628632221847 1.31727109025935,565.434184824757,2819.16236711437,2829.16236711437,2829.2227292874104,2838.4888144535303,2853.70114350928,1.5106112509544052
7,sqldbHD,andromeda,1500,G.Gamma,0.0401650381166795 0.677778989219921 20.1365145673866,600.2619625854451,2973.5986869843105,2979.5986869843105,2979.62278336985,2985.1945553878004,2994.32195282125,0.140740740738693
8,sqldbHD,andromeda,1500,E.Weibull,1.16993100771603 1.32671015231446 11.9830571569453,621.9600443726409,2969.31515839666,2975.31515839666,2975.3392547821995,2980.91102680016,2990.0384242336104,0.0678888888915363
0,mandelbrot,lasdpc,30000,Gamma,2 0.00137197069398838,-2028.2017217752398,-10142.3988097515,-10138.3988097515,-10138.3867736432,-10134.6682308159,-10128.5832991936,0.0946153846161906
1,mandelbrot,lasdpc,30000,Weibull,2 0.0031485886229767,-2059.14480188858,-10295.7240094429,-10291.7240094429,-10291.711973334599,-10287.9934305072,-10281.908498884899,0.0562222222231665
2,mandelbrot,lasdpc,30000,Normal,0.00274394138797675 0.00139298188505091,-2062.71236819291,-10315.4605842216,-10311.4605842216,-10311.4485481133,-10307.7300052859,-10301.6450736636,0.0198888888876859
3,mandelbrot,lasdpc,30000,T.Normal,0.00273968109284792 0.00151722441391384,-2074.00849456212,-10373.7898266037,-10369.7898266037,-10369.7777904953,-10366.059247668001,-10359.9743160457,0.112777777776096
4,mandelbrot,lasdpc,30000,Lognormal,-6.11181481507095 0.8200741792132,-1955.3715295971103,-9782.47451017606,-9778.47451017606,-9778.462474067741,-9774.7439312404,-9768.658999618101,0.0171111111121718
5,mandelbrot,lasdpc,30000,OLL-GG,0.00812144481737244 2.9466679385644 0.232427079235129 2.12639813515041,-2066.36390842725,-10334.515775079499,-10326.515775079499,-10326.4755740745,-10319.0546172082,-10306.884753963599,1.28824999999961
6,mandelbrot,lasdpc,30000,Kw-CWG,0.0331647127231007 0.454718720591082 928.487549930709 2.48338610486847 196.841038762939,-2062.68099929112,-10348.4438905361,-10338.4438905361,-10338.3835283631,-10329.117443197,-10313.9051141412,21.546517973501828
7,mandelbrot,lasdpc,30000,G.Gamma,0.00412041152599844 2.59864149552223 0.559624564800196,-2063.29175234826,-10316.4587617413,-10310.4587617413,-10310.4346653558,-10304.8628933378,-10295.735495904399,0.0819259259248308
8,mandelbrot,lasdpc,30000,E.Weibull,2.4801866867855 0.00385330675415995 0.625294091458343,-2062.05815286727,-10310.2907643364,-10304.2907643364,-10304.2666679508,-10298.6948959329,-10289.5674984994,0.14370370370333702
0,mandelbrot,lasdpc,10000,Gamma,2 0.00121752999821903,-2086.06054253398,-10430.8598602991,-10426.8598602991,-10426.8478241908,-10423.129281363399,-10417.0443497411,0.10878571428786801
1,mandelbrot,lasdpc,10000,Weibull,2.03539636021189 0.00282005158918382,-2133.95545877856,-10669.777293892801,-10665.777293892801,-10665.7652577845,-10662.0467149571,-10655.9617833348,0.0682222222239943
2,mandelbrot,lasdpc,10000,Normal,0.00243505999643807 0.00109583377052748,-2158.93612196186,-10795.6024759627,-10791.6024759627,-10791.5904398543,-10787.871897027,-10781.786965404699,0.0257777777781788
3,mandelbrot,lasdpc,10000,T.Normal,0.00243498585600506 0.00114132855740298,-2164.9564368758397,-10825.462857153101,-10821.462857153101,-10821.4508210448,-10817.7322782175,-10811.6473465952,0.258555555552852
4,mandelbrot,lasdpc,10000,Lognormal,-6.20643219808403 0.783360890672436,-2009.9450287329103,-10063.3103994123,-10059.3103994123,-10059.298363304,-10055.5798204767,-10049.494888854399,0.0155555555554909
5,mandelbrot,lasdpc,10000,OLL-GG,0.00726419989074845 2.36967939962959 0.292405077556544 2.4164801869557,-2138.02732047411,-10690.136602370601,-10682.136602370601,-10682.096401365501,-10674.6754444992,-10662.5055812546,1.27118749999954
6,mandelbrot,lasdpc,10000,Kw-CWG,0.0124513743487028 0.725402024724059 766.877686428833 1.65331160858756 118.445763239769,-2157.6619836585,-10806.904725270899,-10796.904725270899,-10796.8443630979,-10787.5782779317,-10772.365948876,36.73885987795611
7,mandelbrot,lasdpc,10000,G.Gamma,0.00399550258990235 3.62404744780322 0.425945047069441,-2147.50847834786,-10741.4028067314,-10735.4028067314,-10735.3787103459,-10729.8069383279,-10720.6795408944,0.145703703703475
8,mandelbrot,lasdpc,10000,E.Weibull,2.77208701683214 0.00338629331098833 0.600034889243108,-2144.95160127592,-10724.7580063796,-10718.7580063796,-10718.7339099941,-10713.1621379761,-10704.0347405427,0.273333333332428
0,sqldbHD,andromeda,100,Gamma,11.0500970931207 0.0878450229860221,66.2245068408575,313.797003161684,317.797003161684,317.809039270009,321.527582097349,327.61251371964903,0.0509999999999612
1,sqldbHD,andromeda,100,Weibull,3.93301365812908 1.06871401545194,47.4124931541389,228.17704429365003,232.17704429365003,232.189080401975,235.907623229314,241.992554851614,0.0195714285717778
2,sqldbHD,andromeda,100,Normal,0.970623117007835 0.266873755719016,39.951130410390604,195.913594365332,199.913594365332,199.925630473657,203.64417330099602,209.729104923297,0.00499999999980597
3,sqldbHD,andromeda,100,T.Normal,0.970476176961922 0.26713792525159,39.899690785722896,195.63555130093997,199.63555130093997,199.647587409265,203.366130236604,209.451061858904,0.0417777777765878
4,sqldbHD,andromeda,100,Lognormal,-0.0757327219310405 0.340059748764242,118.525239698265,529.140407909293,533.140407909293,533.152444017618,536.870986844957,542.955918467257,0.00577777777410423
5,sqldbHD,andromeda,100,OLL-GG,2.12056618135002 6.33332190571715 0.153179952765969 3.12497936415178,41.7124167314864,201.936648797526,209.936648797526,209.97684980255102,217.397806668854,229.567669913454,1.198437500002
6,sqldbHD,andromeda,100,Kw-CWG,0.0197807356441614 1.0556173818312 3.94644873293618 1.74744043303233 1.6505955982416,39.6946377526966,195.077747567275,205.077747567275,205.13810974031298,214.404194906436,229.61652396218602,0.984556399933241
7,sqldbHD,andromeda,100,G.Gamma,0.932397674206401 3.19401486361852 1.44285630808262,48.8539397470576,221.934124134733,227.934124134733,227.958220520275,233.52999253822998,242.65738997168,0.0449629629621524
8,sqldbHD,andromeda,100,E.Weibull,3.30513342592827 0.985585722378058 1.39951125278382,47.0115388931168,221.019522831381,227.019522831381,227.043619216923,232.61539123487702,241.742788668327,0.0759629629626741
0,sqldbHD,lasdpc,1500,Gamma,12.1606011628235 0.0891700821378992,94.52635073195441,444.80311860220803,448.80311860220803,448.81515471053297,452.533697537872,458.61862916017196,0.0570666666676213
1,sqldbHD,lasdpc,1500,Weibull,6.20150116801642 1.16138891918451,-37.795391323844704,-203.614244966026,-199.614244966026,-199.602208857701,-195.883666030362,-189.798734408062,0.0280476190486557
2,sqldbHD,lasdpc,1500,Normal,1.08439378064777 0.22596095364142,-26.0737935931796,-136.914362367101,-132.914362367101,-132.902326258776,-129.183783431436,-123.09885180913601,0.00666666666317421
3,sqldbHD,lasdpc,1500,T.Normal,1.08439310061288 0.225965535007208,-26.234465288466,-136.91595646595,-132.91595646595,-132.903920357625,-129.18537753028602,-123.10044590798599,0.0262222222243306
4,sqldbHD,lasdpc,1500,Lognormal,0.0393843332769526 0.377508468740038,212.356195137669,968.322743481163,972.322743481163,972.3347795894881,976.053322416827,982.138254039127,0.00633333333017718
5,sqldbHD,lasdpc,1500,OLL-GG,1.39924683184295 10.5850290994636 0.311974343204077 1.39743657926554,205.504682715023,-309.988946347187,-301.988946347187,-301.948745342162,-294.527788475859,-282.357925231259,0.853600000001218
6,sqldbHD,lasdpc,1500,Kw-CWG,0.00365489334165563 3.79239126895274 1.34502609712436 0.405087128329989 0.643777554767423,-116.28581613713699,-587.4107586048599,-577.4107586048599,-577.350396431821,-568.0843112656991,-552.871982209949,0.6650183941043778
7,sqldbHD,lasdpc,1500,G.Gamma,1.29188000388019 10.0038493910523 0.461322178118241,251.878824648842,-299.91019335191004,-293.91019335191004,-293.886096966368,-288.314324948414,-279.186927514963,0.0466296296303712
8,sqldbHD,lasdpc,1500,E.Weibull,7.26984026239975 1.210167901028 0.691869258371815,217.030200244641,-264.597480016748,-258.597480016748,-258.573383631206,-253.001611613251,-243.874214179801,0.310111111109749
0,sqldbHD,andromeda,300,Gamma,10.765886327477 0.132091423685915,224.337610381596,1102.35428211349,1106.35428211349,1106.36631822181,1110.0848610491498,1116.16979267145,0.0498666666661544
1,sqldbHD,andromeda,300,Weibull,3.71520839140875 1.57034809401444,215.598631998732,1072.38482425328,1076.38482425328,1076.3968603616001,1080.11540318894,1086.20033481124,0.0199523809535008
2,sqldbHD,andromeda,300,Normal,1.42208439929715 0.406097083820137,209.356714092463,1035.55041380896,1039.55041380896,1039.5624499172802,1043.2809927446199,1049.36592436692,0.0048888888882680104
3,sqldbHD,andromeda,300,T.Normal,1.42172303197911 0.406729560244837,207.63649954000599,1035.08280953421,1039.08280953421,1039.09484564254,1042.81338846988,1048.89832009218,0.0261111111127927
4,sqldbHD,andromeda,300,Lognormal,0.30496222609938 0.340098542387603,280.480043251956,1290.75844904879,1294.75844904879,1294.77048515711,1298.48902798445,1304.5739596067501,0.0066666666696417205
5,sqldbHD,andromeda,300,OLL-GG,3.86062499239692 5.11823821851834 0.146761929522939 3.94194989105838,206.715120226749,1026.41881109879,1034.41881109879,1034.45901210382,1041.87996897012,1054.0498322147198,1.20618749999903
6,sqldbHD,andromeda,300,Kw-CWG,0.0170293829604354 1.05163878506931 3.02691732579543 1.71093020205549 1.18764306132841,204.978370624065,1020.28567133476,1030.28567133476,1030.3460335078,1039.61211867392,1054.82444772967,0.9912909017910523
7,sqldbHD,andromeda,300,G.Gamma,1.11690119671124 2.47854599693987 2.0942487657139,212.128072392256,1050.2063583846,1056.2063583846,1056.23045477014,1061.8022267881,1070.92962422155,0.041370370369771
