algorithm,machine,problem size,time
dijkstra,andromeda,500K,0.325352227
dijkstra,andromeda,500K,0.326791685
dijkstra,andromeda,500K,0.326406843
dijkstra,andromeda,500K,0.325679815
dijkstra,andromeda,500K,0.327443598
dijkstra,andromeda,500K,0.328010259
dijkstra,andromeda,500K,0.326495564
dijkstra,andromeda,500K,0.327717216
dijkstra,andromeda,500K,0.325823254
dijkstra,andromeda,500K,0.323002395
dijkstra,andromeda,500K,0.325330974
dijkstra,andromeda,500K,0.328908329
dijkstra,andromeda,500K,0.327647828
dijkstra,andromeda,500K,0.325083793
dijkstra,andromeda,500K,0.325119261
dijkstra,andromeda,500K,0.326590502
dijkstra,andromeda,500K,0.329609218
dijkstra,andromeda,500K,0.327650026
dijkstra,andromeda,500K,0.324824961
dijkstra,andromeda,500K,0.328696688
dijkstra,andromeda,500K,0.330982928
dijkstra,andromeda,500K,0.328995569
dijkstra,andromeda,500K,0.325690575
dijkstra,andromeda,500K,0.326767071
dijkstra,andromeda,500K,0.327610551
dijkstra,andromeda,500K,0.323652742
dijkstra,andromeda,500K,0.325300622
dijkstra,andromeda,500K,0.323432604
dijkstra,andromeda,500K,0.327591558
dijkstra,andromeda,500K,0.327755789
dijkstra,andromeda,500K,0.325256141
dijkstra,andromeda,500K,0.328171624
dijkstra,andromeda,500K,0.330625846
dijkstra,andromeda,500K,0.326100947
dijkstra,andromeda,500K,0.325524320
dijkstra,andromeda,500K,0.326009637
dijkstra,andromeda,500K,0.324763042
dijkstra,andromeda,500K,0.322345169
dijkstra,andromeda,500K,0.323000916
dijkstra,andromeda,500K,0.323025309
dijkstra,andromeda,500K,0.326241938
dijkstra,andromeda,500K,0.325869866
dijkstra,andromeda,500K,0.327243100
dijkstra,andromeda,500K,0.328095037
dijkstra,andromeda,500K,0.316493086
dijkstra,andromeda,500K,0.329992964
dijkstra,andromeda,500K,0.325473319
dijkstra,andromeda,500K,0.322852018
dijkstra,andromeda,500K,0.326852320
dijkstra,andromeda,500K,0.326550341
dijkstra,andromeda,500K,0.327282068
dijkstra,andromeda,500K,0.322088968
dijkstra,andromeda,500K,0.328005723
dijkstra,andromeda,500K,0.327622157
dijkstra,andromeda,500K,0.327987286
dijkstra,andromeda,500K,0.323545224
dijkstra,andromeda,500K,0.324619229
dijkstra,andromeda,500K,0.326404995
dijkstra,andromeda,500K,0.326912079
dijkstra,andromeda,500K,0.326434054
dijkstra,andromeda,500K,0.327787321
dijkstra,andromeda,500K,0.325469420
dijkstra,andromeda,500K,0.326372180
dijkstra,andromeda,500K,0.327891367
dijkstra,andromeda,500K,0.331361415
dijkstra,andromeda,500K,0.326045343
dijkstra,andromeda,500K,0.325830171
dijkstra,andromeda,500K,0.332072487
dijkstra,andromeda,500K,0.323555779
dijkstra,andromeda,500K,0.325360323
dijkstra,andromeda,500K,0.326407868
dijkstra,andromeda,500K,0.326043832
dijkstra,andromeda,500K,0.331315385
dijkstra,andromeda,500K,0.327667097
dijkstra,andromeda,500K,0.323817779
dijkstra,andromeda,500K,0.326094463
dijkstra,andromeda,500K,0.328423303
dijkstra,andromeda,500K,0.321897016
dijkstra,andromeda,500K,0.331405674
dijkstra,andromeda,500K,0.325255893
dijkstra,andromeda,500K,0.321561183
dijkstra,andromeda,500K,0.331778397
dijkstra,andromeda,500K,0.327453460
dijkstra,andromeda,500K,0.327526857
dijkstra,andromeda,500K,0.323632332
dijkstra,andromeda,500K,0.322816011
dijkstra,andromeda,500K,0.323162742
dijkstra,andromeda,500K,0.327374789
dijkstra,andromeda,500K,0.325178969
dijkstra,andromeda,500K,0.324464945
dijkstra,andromeda,500K,0.329138045
dijkstra,andromeda,500K,0.328478900
dijkstra,andromeda,500K,0.324728476
dijkstra,andromeda,500K,0.325252876
dijkstra,andromeda,500K,0.323873442
dijkstra,andromeda,500K,0.329578671
dijkstra,andromeda,500K,0.329600774
dijkstra,andromeda,500K,0.326187866
dijkstra,andromeda,500K,0.323554873
dijkstra,andromeda,500K,0.330647615
dijkstra,andromeda,500K,0.325103176
dijkstra,andromeda,500K,0.328096815
dijkstra,andromeda,500K,0.329382109
dijkstra,andromeda,500K,0.326735221
dijkstra,andromeda,500K,0.328260132
dijkstra,andromeda,500K,0.324047118
dijkstra,andromeda,500K,0.327340289
dijkstra,andromeda,500K,0.325133883
dijkstra,andromeda,500K,0.328187111
dijkstra,andromeda,500K,0.326577132
dijkstra,andromeda,500K,0.323288886
dijkstra,andromeda,500K,0.326938167
dijkstra,andromeda,500K,0.325954642
dijkstra,andromeda,500K,0.325888220
dijkstra,andromeda,500K,0.329462710
dijkstra,andromeda,500K,0.325573274
dijkstra,andromeda,500K,0.327823595
dijkstra,andromeda,500K,0.325975159
dijkstra,andromeda,500K,0.323894154
dijkstra,andromeda,500K,0.327236066
dijkstra,andromeda,500K,0.326360997
dijkstra,andromeda,500K,0.324064929
dijkstra,andromeda,500K,0.329104282
dijkstra,andromeda,500K,0.324267754
dijkstra,andromeda,500K,0.327037966
dijkstra,andromeda,500K,0.328767015
dijkstra,andromeda,500K,0.329156098
dijkstra,andromeda,500K,0.324091996
dijkstra,andromeda,500K,0.328987474
dijkstra,andromeda,500K,0.328632438
dijkstra,andromeda,500K,0.326283188
dijkstra,andromeda,500K,0.322538983
dijkstra,andromeda,500K,0.326919617
dijkstra,andromeda,500K,0.326977914
dijkstra,andromeda,500K,0.327198012
dijkstra,andromeda,500K,0.329269679
dijkstra,andromeda,500K,0.323827879
dijkstra,andromeda,500K,0.329929574
dijkstra,andromeda,500K,0.323254702
dijkstra,andromeda,500K,0.328054562
dijkstra,andromeda,500K,0.325702252
dijkstra,andromeda,500K,0.328523248
dijkstra,andromeda,500K,0.327452091
dijkstra,andromeda,500K,0.326286576
dijkstra,andromeda,500K,0.325179247
dijkstra,andromeda,500K,0.325964948
dijkstra,andromeda,500K,0.332476541
dijkstra,andromeda,500K,0.324989480
dijkstra,andromeda,500K,0.324260808
dijkstra,andromeda,500K,0.321818784
dijkstra,andromeda,500K,0.326176332
dijkstra,andromeda,500K,0.325823317
dijkstra,andromeda,500K,0.323683277
dijkstra,andromeda,500K,0.323658460
dijkstra,andromeda,500K,0.330231093
dijkstra,andromeda,500K,0.323864938
dijkstra,andromeda,500K,0.323026997
dijkstra,andromeda,500K,0.327613141
dijkstra,andromeda,500K,0.325587249
dijkstra,andromeda,500K,0.326684458
dijkstra,andromeda,500K,0.325461219
dijkstra,andromeda,500K,0.329488666
dijkstra,andromeda,500K,0.326584114
dijkstra,andromeda,500K,0.329602895
dijkstra,andromeda,500K,0.325363608
dijkstra,andromeda,500K,0.329268531
dijkstra,andromeda,500K,0.322375362
dijkstra,andromeda,500K,0.326828281
dijkstra,andromeda,500K,0.323567549
dijkstra,andromeda,500K,0.327594443
dijkstra,andromeda,500K,0.323540097
dijkstra,andromeda,500K,0.328604304
dijkstra,andromeda,500K,0.326026377
dijkstra,andromeda,500K,0.331763157
dijkstra,andromeda,500K,0.326972487
dijkstra,andromeda,500K,0.329891124
dijkstra,andromeda,500K,0.323874871
dijkstra,andromeda,500K,0.324544856
dijkstra,andromeda,500K,0.325270279
dijkstra,andromeda,500K,0.326711833
dijkstra,andromeda,500K,0.323857157
dijkstra,andromeda,500K,0.325426228
dijkstra,andromeda,500K,0.327221388
dijkstra,andromeda,500K,0.325204035
dijkstra,andromeda,500K,0.326549374
dijkstra,andromeda,500K,0.325626032
dijkstra,andromeda,500K,0.329790499
dijkstra,andromeda,500K,0.330526846
dijkstra,andromeda,500K,0.316625590
dijkstra,andromeda,500K,0.325769854
dijkstra,andromeda,500K,0.327229429
dijkstra,andromeda,500K,0.325986207
dijkstra,andromeda,500K,0.324845294
dijkstra,andromeda,500K,0.327546916
dijkstra,andromeda,500K,0.324463698
dijkstra,andromeda,500K,0.333777875
dijkstra,andromeda,500K,0.323508631
dijkstra,andromeda,500K,0.327862330
dijkstra,andromeda,500K,0.328778964
dijkstra,andromeda,500K,0.324096089
dijkstra,andromeda,500K,0.326160390
dijkstra,andromeda,500K,0.328554935
dijkstra,andromeda,500K,0.327716236
dijkstra,andromeda,500K,0.329616729
dijkstra,andromeda,500K,0.327186710
dijkstra,andromeda,500K,0.323158660
dijkstra,andromeda,500K,0.326796773
dijkstra,andromeda,500K,0.326799495
dijkstra,andromeda,500K,0.332910468
dijkstra,andromeda,500K,0.327490126
dijkstra,andromeda,500K,0.326154411
dijkstra,andromeda,500K,0.326156148
dijkstra,andromeda,500K,0.326568380
dijkstra,andromeda,500K,0.327549004
dijkstra,andromeda,500K,0.327188441
dijkstra,andromeda,500K,0.322418657
dijkstra,andromeda,500K,0.323714626
dijkstra,andromeda,500K,0.330781755
dijkstra,andromeda,500K,0.327022650
dijkstra,andromeda,500K,0.325450098
dijkstra,andromeda,500K,0.326265431
dijkstra,andromeda,500K,0.325785730
